year,state,state_po,district,party,candidatevotes,totalvotes,winratio,ID,prev_party,prev_candidatevotes,prev_totalvotes,prev_winratio,flip
1976,New York,NY,33,4,125163,182755,0.684867719,1976-NY-33,,,,,
1976,New York,NY,34,4,126566,192196,0.658525672,1976-NY-34,,,,,
1976,New York,NY,35,4,120738,187915,0.642513903,1976-NY-35,,,,,
1976,New York,NY,36,0,118765,184947,0.642156942,1976-NY-36,,,,,
1976,New York,NY,37,0,95604,127951,0.747192285,1976-NY-37,,,,,
1976,New York,NY,38,4,151610,212009,0.715111151,1976-NY-38,,,,,
1976,New York,NY,39,0,109986,178004,0.617884991,1976-NY-39,,,,,
1976,North Carolina,NC,1,0,98611,129956,0.758802979,1976-NC-1,,,,,
1976,North Carolina,NC,2,0,113368,113368,1,1976-NC-2,,,,,
1976,North Carolina,NC,3,0,77193,112282,0.687492207,1976-NC-3,,,,,
1976,North Carolina,NC,4,0,92165,152082,0.606021751,1976-NC-4,,,,,
1976,North Carolina,NC,5,0,98789,182164,0.54230803,1976-NC-5,,,,,
1976,North Carolina,NC,6,0,103851,107811,0.963269054,1976-NC-6,,,,,
1976,North Carolina,NC,7,0,95463,117418,0.813018447,1976-NC-7,,,,,
1976,North Carolina,NC,8,0,99296,151081,0.657236846,1976-NC-8,,,,,
1976,North Carolina,NC,9,4,82297,153788,0.53513278,1976-NC-9,,,,,
1976,North Carolina,NC,10,4,99882,167072,0.597838058,1976-NC-10,,,,,
1976,North Carolina,NC,11,0,93857,184405,0.508972099,1976-NC-11,,,,,
1976,Ohio,OH,1,4,109789,169516,0.647661578,1976-OH-1,,,,,
1976,Ohio,OH,2,0,88178,171637,0.513747036,1976-OH-2,,,,,
1976,Ohio,OH,3,4,100871,145374,0.693872357,1976-OH-3,,,,,
1976,Ohio,OH,4,4,121173,172957,0.700596102,1976-OH-4,,,,,
1976,Ohio,OH,5,4,124910,185214,0.674409062,1976-OH-5,,,,,
1976,Ohio,OH,6,4,107064,174131,0.614847442,1976-OH-6,,,,,
1976,Ohio,OH,7,4,101027,155782,0.648515233,1976-OH-7,,,,,
1976,Ohio,OH,8,4,110775,161357,0.686521192,1976-OH-8,,,,,
1976,Ohio,OH,9,0,91040,167969,0.542004775,1976-OH-9,,,,,
1976,Ohio,OH,10,4,127147,184904,0.687637909,1976-OH-10,,,,,
1976,Ohio,OH,11,4,120716,168264,0.717420244,1976-OH-11,,,,,
1976,Ohio,OH,12,4,90987,195840,0.464598652,1976-OH-12,,,,,
1976,Ohio,OH,13,0,108061,163683,0.660184625,1976-OH-13,,,,,
1976,Ohio,OH,14,0,121652,164188,0.740931128,1976-OH-14,,,,,
1976,Ohio,OH,15,4,109630,167371,0.65501192,1976-OH-15,,,,,
1976,Ohio,OH,16,4,116374,174091,0.668466492,1976-OH-16,,,,,
1976,Ohio,OH,17,4,94874,167042,0.567964943,1976-OH-17,,,,,
1976,Ohio,OH,18,0,116901,185834,0.62906142,1976-OH-18,,,,,
1976,Ohio,OH,19,0,90386,179895,0.502437533,1976-OH-19,,,,,
1976,Ohio,OH,20,0,98785,121976,0.809872434,1976-OH-20,,,,,
1976,Ohio,OH,21,0,91903,109626,0.838332147,1976-OH-21,,,,,
1976,Ohio,OH,22,0,128535,176723,0.727324683,1976-OH-22,,,,,
1976,Ohio,OH,23,0,130576,178380,0.732010315,1976-OH-23,,,,,
1976,Oklahoma,OK,1,0,100945,187044,0.539685849,1976-OK-1,,,,,
1976,Oklahoma,OK,2,0,102402,189743,0.539687894,1976-OK-2,,,,,
1976,Oklahoma,OK,3,0,151271,184565,0.819608268,1976-OK-3,,,,,
1976,Oklahoma,OK,4,0,116425,155357,0.749402988,1976-OK-4,,,,,
1976,Oklahoma,OK,5,4,78651,157764,0.498535788,1976-OK-5,,,,,
1976,Oklahoma,OK,6,0,137498,193451,0.710763966,1976-OK-6,,,,,
1976,Oregon,OR,1,0,154844,264000,0.586530303,1976-OR-1,,,,,
1976,Oregon,OR,2,0,173313,240761,0.71985496,1976-OR-2,,,,,
1976,Oregon,OR,3,0,148503,177051,0.838758324,1976-OR-3,,,,,
1976,Oregon,OR,4,0,122475,244852,0.500200121,1976-OR-4,,,,,
1976,Pennsylvania,PA,1,0,117087,159205,0.735448007,1976-PA-1,,,,,
1976,Pennsylvania,PA,2,0,109855,149369,0.735460504,1976-PA-2,,,,,
1976,Pennsylvania,PA,3,0,98627,134818,0.731556617,1976-PA-3,,,,,
1976,Pennsylvania,PA,4,0,144890,214590,0.675194557,1976-PA-4,,,,,
1976,Pennsylvania,PA,5,4,119682,200981,0.595489126,1976-PA-5,,,,,
1976,Pennsylvania,PA,6,0,133624,180998,0.738262301,1976-PA-6,,,,,
1976,Pennsylvania,PA,7,0,109436,202351,0.54082263,1976-PA-7,,,,,
1976,Pennsylvania,PA,8,0,93855,189623,0.494955781,1976-PA-8,,,,,
1976,Pennsylvania,PA,9,0,154359,154359,1,1976-PA-9,,,,,
1976,Pennsylvania,PA,10,4,125218,200143,0.625642665,1976-PA-10,,,,,
1976,Pennsylvania,PA,11,0,130175,183796,0.708258069,1976-PA-11,,,,,
1976,Pennsylvania,PA,12,0,122504,180993,0.676843856,1976-PA-12,,,,,
