STATE,SC,CD,REDIST,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
PA,14,7,0,2,45124,25019,38529,70180,0,0,10951,214742,0,119412,235,1.17290196,30062,18299,7096,185,72484,0,7289,0,0,746,0,2990.021622,553154,17456904,764,8719,8208,39,530792,0,82934,35497
PA,14,8,0,2,42379,25019,6445,94120,0,0,12706,211464,0,115416,2008,1.17290196,24639,15960,7096,964,88093,0,6481,2,0,1245,0,556.123444,536103,0,12326,7371,7975,39,412944,0,77649,33879
PA,14,9,0,2,46281,25019,20948,83802,0,0,10496,196385,0,101428,7664,1.17290196,11061,15973,7096,1704,73644,0,6107,0,0,1104,1,286.9524648,488967,0,45805,5765,5639,39,230229,1602,62662,28821
PA,14,10,0,2,44779,25019,1337,61957,0,0,6199,141446,0,76781,5863,1.17290196,20157,12774,7096,4055,45183,0,4820,2,0,224,0,92.20567201,373894,0,30806,7429,10519,39,238212,0,47791,22047
PA,14,11,0,2,38597,25019,1080,59165,0,0,5088,136064,0,66722,652,1.17290196,22675,11376,7096,891,43640,0,4722,0,0,155,0,389.4186308,346972,0,3748,4331,14144,39,281507,500,49555,21030
PA,14,12,0,2,46981,25019,4297,73005,0,0,8461,159370,0,96794,6201,1.17290196,8296,18935,7096,5143,40485,0,4679,1,0,421,1,85.50359712,439745,0,38985,14968,11231,39,172597,200,53845,25918
PA,14,13,0,2,46667,25019,18834,70316,0,0,10305,206311,0,108926,1196,1.17290196,28895,16537,7096,491,77423,0,7632,0,0,881,0,1052.305499,516682,0,6194,5371,5145,39,410685,0,74916,33051
PA,14,14,0,4,46766,25019,90147,46356,1,0,6718,160705,0,67657,23,4.01888736,30643,13746,7096,29,34857,0,5409,0,0,83,0,13465.93103,390512,0,0,6318,14195,39,390512,0,242212,28966
PA,14,15,0,2,32536,25019,2930,62870,0,0,6187,123617,0,59820,1334,1.17290196,19028,8736,7096,1935,57676,0,5447,0,0,503,0,156.602584,303026,0,8463,4941,6690,39,185939,0,41013,15823
PA,14,16,0,2,36056,25019,21536,60450,0,0,8071,144393,0,73143,2956,1.17290196,7621,28527,7096,1820,40534,0,5559,0,0,1351,0,194.2659341,353564,0,19036,7429,4878,39,216506,1074,47918,21998
PA,14,17,0,2,41928,25019,2921,66749,0,0,7329,153586,0,83128,5882,1.17290196,6345,20667,7096,7131,53224,0,5068,0,0,223,0,57.22002524,408036,0,35795,5160,9053,39,167598,0,52495,21211
PA,14,18,0,4,34201,25019,7214,52433,0,0,8217,150988,0,87715,223,4.01888736,20656,11164,7096,346,49481,0,6715,0,0,384,0,1182.921965,409291,0,1211,6781,7681,39,352694,0,-6,26417
PA,14,19,0,2,38822,25019,7478,75578,0,0,9716,170751,0,88468,4943,1.17290196,4110,19385,7096,1992,60832,0,5692,3,1,894,0,208.3624498,415058,0,29966,6657,7207,39,216152,0,54090,27119
PA,14,20,0,4,38782,25019,30023,67203,1,0,5526,150702,0,85054,106,4.01888736,30673,10355,7096,117,62181,0,5627,0,0,155,0,3461.512821,404997,0,315,7323,10927,39,392591,0,-6,25047
PA,14,21,0,4,32834,25019,7091,56038,0,0,5956,124602,0,75750,1232,4.01888736,19963,8159,7096,1023,49834,0,5597,0,0,279,0,344.7008798,352629,0,7333,4467,11609,39,214801,0,49172,18385
