ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CD,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FIPSTATE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,SC,STATE,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL,ID,YEAR,party,candidatevotes,totalvotes,winratio,prev_party,prev_candidatevotes,prev_totalvotes,prev_winratio,flip
2,27667,164253,192893,51734,21,1,1,3427,131959,0,122325,128,5890,15905,36,2.32414784,35772,20973,22418,6,12425,33048,0,5613,0,0,331,,77005,462030,177814618,0,13,NY,2658,7561,7808,40.2,462030,0,45487,23694,1978-NY-21,1978,0,20769,24449,0.849482596,0,37184,41883,0.887806509,0
2,73351,164253,82384,53405,22,1,1,6927,194753,0,74839,126,8382,28249,36,2.32414784,99732,32289,22418,9,20605,35089,0,8850,0,0,432,,51881.22222,466931,177814618,0,13,NY,3302,10472,7773,40.2,466931,987,57803,40252,1978-NY-22,1978,0,54110,69837,0.774804187,0,86381,106592,0.810389147,0
2,53493,164253,58483,51722,23,1,1,11004,204669,0,97371,477,6032,25569,36,2.32414784,64086,33108,22418,87,23625,39825,0,12693,0,0,406,,5376.758621,467778,177814618,45,13,NY,3451,7735,5785,40.2,465524,0,56398,39273,1978-NY-23,1978,0,66354,128572,0.516084373,4,78601,173430,0.453214553,1
2,52294,164253,59414,47258,24,0,1,10910,203188,0,102018,502,4259,23617,36,2.32414784,61201,26583,22418,158,19541,40731,0,13577,0,0,277,,2962.962025,468148,0,142,13,NY,2783,5528,5523,40.2,450380,0,53248,39801,1978-NY-24,1978,0,75397,134463,0.560726743,0,99761,183012,0.545106332,0
2,46191,164253,22519,51610,25,0,0,12450,178990,0,112793,2214,3819,12543,36,2.32414784,32732,30445,22418,1472,16010,49565,0,11885,0,0,204,1,317.8389946,467859,0,4129,13,NY,10616,5082,5002,40.2,241809,1592,52768,29998,1978-NY-25,1978,4,114641,146533,0.782356193,4,122958,197605,0.62224134,0
2,41684,164253,28044,54485,26,0,0,11844,175532,0,117088,2646,5554,13392,36,2.32414784,35129,34541,22418,123,18114,38555,0,11632,1,0,6409,,3800.195122,467424,0,4235,13,NY,10873,5924,5452,40.2,334505,0,60083,32972,1978-NY-26,1978,4,87059,139637,0.62346656,4,120049,183981,0.652507596,0
2,49526,164253,9585,56852,27,0,0,11108,185794,0,105087,4733,2960,10534,36,2.32414784,24420,31049,22418,4680,16505,51341,0,9904,0,0,129,,99.9957265,467980,0,12384,13,NY,11584,4005,7673,40.2,240039,0,55593,31247,1978-NY-27,1978,0,83413,149590,0.557610803,0,121763,190674,0.638592572,0
2,56418,164253,18598,55965,28,0,0,11536,196487,0,102245,965,6761,15028,36,2.32414784,30128,48128,22418,612,15216,41606,0,10674,1,0,391,,763.4297386,467219,0,2295,13,NY,26151,5805,6378,40.2,411435,776,47525,36805,1978-NY-28,1978,0,139575,182945,0.762934215,0,170034,215162,0.790260362,0
2,52915,164253,8387,65803,29,0,0,12522,179832,0,110994,4615,4750,11009,36,2.32414784,18314,33431,22418,4684,14348,45392,0,9621,0,0,871,,99.86485909,467767,0,12548,13,NY,14333,6044,7051,40.2,213020,0,54467,31905,1978-NY-29,1978,4,90572,184223,0.49164328,4,96476,214222,0.450355239,0
3,48088,164253,3230,57187,30,0,0,10741,164067,0,117560,8919,4285,7050,36,0.7770784,16316,32952,22418,10625,15163,35036,1,8584,1,1,3875,1,44.03952941,467920,0,32401,13,NY,13504,4082,10395,40.2,183057,0,49699,27939,1978-NY-30,1978,4,79502,141263,0.562794221,4,89493,171515,0.521779436,0
2,55568,164253,8599,67449,31,0,0,9209,183270,0,108177,6632,7402,10142,36,2.32414784,21920,33235,22418,6429,15310,57088,0,9388,1,1,3598,,72.7511277,467717,0,21704,13,NY,10523,4616,10433,40.2,261972,0,52517,29193,1978-NY-31,1978,4,98415,107791,0.913016857,4,115464,185175,0.623539895,0
