Sampling,Model,Metric,Trial 0,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Avg_Acc,Std_dev_Acc,Avg_Precision,Std_dev Precision,Avg_recall,std_dev recall,average_f1,std_dev f1
,,,,,,,,,,,,,,,,,,,,
UNDER,ID3,accuracy,0.518240343,0.486051502,0.525751073,0.533261803,0.563304721,0.496781116,0.5472103,0.478540773,0.472103004,0.496781116,0.511802575,0.028981876,0.940729588,0.010933739,0.486757486,0.04458418,0.640436671,0.039380678
,,,,,,,,,,,,,,,,,,,,
UNDER,ID3,TP,427,412,428,428,454,350,455,389,369,379,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,ID3,FN,406,419,416,400,381,497,396,463,483,456,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,ID3,FP,36,33,23,26,24,20,24,24,19,29,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,ID3,TN,63,68,65,78,73,65,57,56,61,68,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,ID3,precision,0.92224622,0.925842697,0.949002217,0.942731278,0.949790795,0.945945946,0.949895616,0.94188862,0.951030928,0.928921569,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,ID3,recall,0.512605042,0.495788207,0.507109005,0.516908213,0.543712575,0.41322314,0.5346651,0.45657277,0.433098592,0.453892216,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,ID3,f1,0.658950617,0.645768025,0.661003861,0.667706708,0.691546078,0.575184881,0.684210526,0.615019763,0.59516129,0.609814964,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,ID3 (Overfitting),accuracy,0.525751073,0.515021459,0.528969957,0.542918455,0.565450644,0.44527897,0.549356223,0.477467811,0.461373391,0.479613734,0.509120172,0.038558745,0.940729588,0.010933739,0.486757486,0.04458418,0.640436671,0.039380678
,,,,,,,,,,,,,,,,,,,,
UNDER,ID3 (Overfitting),TP,427,412,428,428,454,350,455,389,369,379,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,ID3 (Overfitting),FN,406,419,416,400,381,497,396,463,483,456,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,ID3 (Overfitting),FP,36,33,23,26,24,20,24,24,19,29,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,ID3 (Overfitting),TN,63,68,65,78,73,65,57,56,61,68,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,ID3 (Overfitting),precision,0.92224622,0.925842697,0.949002217,0.942731278,0.949790795,0.945945946,0.949895616,0.94188862,0.951030928,0.928921569,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,ID3 (Overfitting),recall,0.512605042,0.495788207,0.507109005,0.516908213,0.543712575,0.41322314,0.5346651,0.45657277,0.433098592,0.453892216,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,ID3 (Overfitting),f1,0.658950617,0.645768025,0.661003861,0.667706708,0.691546078,0.575184881,0.684210526,0.615019763,0.59516129,0.609814964,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,CART,accuracy,0.462446352,0.512875536,0.494635193,0.478540773,0.519313305,0.473175966,0.55472103,0.439914163,0.47639485,0.532188841,0.494420601,0.033233409,0.9387948,0.014211167,0.470180493,0.037585271,0.625815754,0.03439985
,,,,,,,,,,,,,,,,,,,,
UNDER,CART,TP,371,408,400,363,413,382,456,350,385,425,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,CART,FN,462,423,444,465,422,465,395,502,467,410,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,CART,FP,39,31,27,21,26,26,20,20,21,26,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,CART,TN,60,70,61,83,71,59,61,60,59,71,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,CART,precision,0.904878049,0.929384966,0.93676815,0.9453125,0.940774487,0.93627451,0.957983193,0.945945946,0.948275862,0.942350333,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,CART,recall,0.445378151,0.490974729,0.473933649,0.438405797,0.494610778,0.451003542,0.535840188,0.410798122,0.451877934,0.508982036,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,CART,f1,0.59694288,0.642519685,0.629425649,0.599009901,0.648351648,0.60876494,0.687264506,0.572831424,0.612082671,0.66096423,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,Naive Bayes,accuracy,0.53111588,0.774678112,0.745708155,0.488197425,0.771459227,0.756437768,0.552575107,0.762875536,0.717811159,0.502145923,0.660300429,0.117783794,0.905034391,0.012317178,0.695354614,0.153283412,0.777897433,0.103925916
,,,,,,,,,,,,,,,,,,,,
UNDER,Naive Bayes,TP,451,706,679,397,693,690,473,694,645,423,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,Naive Bayes,FN,382,125,165,431,142,157,378,158,207,412,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,Naive Bayes,FP,55,85,72,46,71,70,39,63,56,52,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UNDER,Naive Bayes,TN,44,16,16,58,26,15,42,17,24,45,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
